ai|艾皑哀蔼隘埃瑷嫒捱
an|安黯谙岸鞍埯鹌
ao|奥傲敖骜翱鳌
ang|昂盎肮
ba|罢霸跋魃
bai|白佰
ban|斑般
bang|邦
bei|北倍贝备
biao|表标彪飚飙
bian|边卞弁忭
bu|步不
cao|曹草操漕
cang|苍仓
chang|常长昌敞玚
chi|迟持池赤尺驰炽
ci|此次词茨辞慈
du|独都
dong|东侗
dou|都篼
fa|发乏珐
fan|范凡反泛帆蕃
fang|方访邡昉
feng|风凤封丰奉枫峰锋
fu|夫符弗芙
gao|高皋郜镐
hong|洪红宏鸿虹泓弘
hu|虎忽湖护乎祜浒怙
hua|化花华骅桦
hao|号浩皓蒿浩昊灏淏
ji|积极济技击疾及基集记纪季继吉计冀祭际籍绩忌寂霁稷玑芨蓟戢佶奇诘笈畿犄
jian|渐剑见建间柬坚俭
kan|刊戡龛
ke|可克科刻珂恪溘牁
lang|朗浪廊琅阆莨
li|历离里理利立力丽礼黎栗荔沥栎璃
lin|临霖林琳
ma|马犸
mao|贸冒貌冒懋矛卯瑁
miao|淼渺邈
nan|楠南腩赧
pian|片翩胼
qian|潜谦倩茜乾虔千
qiang|强羌锖玱
qin|亲琴钦沁芩矜
qing|清庆卿晴
ran|冉然染燃
ren|仁刃壬仞
sha|沙煞
shang|上裳商
shen|深审神申慎参莘
shi|师史石时十世士诗始示适炻
shui|水
si|思斯丝司祀嗣巳
song|松颂诵
tang|堂唐棠瑭
tong|统通同童彤仝
tian|天田忝
wan|万宛晚
wei|卫微伟维威韦纬炜惟玮为
wu|吴物务武午五巫邬兀毋戊
xi|西席锡洗夕兮熹惜
xiao|潇萧笑晓肖霄骁校
xiong|熊雄
yang|羊洋阳漾央秧炀飏鸯
yi|易意依亦伊夷倚毅义宜仪艺译翼逸忆怡熠沂颐奕弈懿翊轶屹猗翌
yin|隐因引银音寅吟胤訚烟荫
ying|映英影颖瑛应莹郢鹰
you|幽悠右忧猷酉
yu|渔郁寓于余玉雨语预羽舆育宇禹域誉瑜屿御渝毓虞禺豫裕钰煜聿
zhi|制至值知质致智志直治执止置芝旨峙芷挚郅炙雉帜
zhong|中忠钟衷
zhou|周州舟胄繇昼
zhu|竹主驻朱祝诸珠著竺
zhuo|卓灼灼拙琢濯斫擢焯酌
zi|子资兹紫姿孜梓秭
zong|宗枞
zu|足族祖卒
zuo|作左佐笮凿"
