阿|a
艾|ai
白|bai
蔡|cai
曹|cao
陈|chen
戴|dai
窦|dou
邓|deng
狄|di
杜|du
段|duan
范|fan
樊|fan
房|fang
风|feng
符|fu
福|fu
高|gao
古|gu
关|guan
郭|guo
毛|mao
韩|han
胡|hu
花|hua
洪|hong
侯|hou
黄|huang
贾|jia
蒋|jiang
金|jin
孔|kong
匡|kuang
廖|liao
梁|liang
李|li
林|lin
刘|liu
龙|long
陆|lu
卢|lu
罗|luo
马|ma
牛|niu
庞|pang
裴|pei
彭|peng
戚|qi
齐|qi
钱|qian
乔|qiao
秦|qin
邱|qiu
裘|qiu
仇|qiu
沙|sha
商|shang
尚|shang
邵|shao
沈|shen
师|shi
施|shi
宋|song
孙|sun
童|tong
万|wan
王|wang
魏|wei
卫|wei
吴|wu
武|wu
萧|xiao
肖|xiao
项|xiang
许|xu
徐|xu
薛|xue
杨|yang
羊|yang
阳|yang
易|yi
尹|yin
俞|yu
赵|zhao
钟|zhong
周|zhou
郑|zheng
朱|zhu
东方|dongfang
独孤|dugu
慕容|murong
欧阳|ouyang
司马|sima
西门|ximen
尉迟|yuchi
长孙|zhangsun
诸葛|zhuge
上官|shangguan
夏侯|xiahou
闻人|wenren
皇甫|huangfu
澹台|tantai
公治|gongzhi
淳于|chunyu
申屠|shentu
公孙|gongsun
公羊|gongyang
轩辕|xuanyuan
令狐|linghu
钟离|zhongli
宇文|yuwen
慕容|murong
仲孙|zhongsun
司徒|situ
司空|sikong
端木|duanmu
公良|gongliang
百里|baili
东郭|dongguo
鲜于|xianyu
南郭|nanguo
呼延|huyan
羊舌|yangshe
东门|dongmen
纳兰|nalan
南官|nanguan
南宫|nangong
拓拔|tuoba
完颜|wanyan
耶律|yelv"
